nr;nume;prenume;camera;localitate;sediu;
1;Sapta;Florian;Alba Iulia;Alba Iulia;Alba Iulia, Piaţa Iuliu Maniu nr. 25,judeţul Alba;
2;Baba;Teodor Nicolae;Alba Iulia;Alba Iulia;Alba Iulia, str. Camil Velican nr. 26,judeţul Alba;
3;Cherşa;Sebastian Bobi;Alba Iulia;Alba Iulia;Alba Iulia, str. Fr. Mistral nr. 5, corp B,camera 1, judeţul Alba;
4;Sav;Augustin;Alba Iulia;Câmpeni;Câmpeni, Str. Teiului bl. L1, ap. 4,judeţul Alba;
5;Aldea;Marin Vasile;Alba Iulia;Aiud;Aiud, Str. Băilor nr. 33A, judeţul Alba;
6;Sărăţean;Dumitru Alexandru;Alba Iulia;Blaj;Blaj, Str. Păcii nr. 40, judeţul Alba;
7;Boldas;Liviu Nicolae;Alba Iulia;Sebeş;Sebeş, str. Lucian Blaga nr. 61, ap. 5,judeţul Alba;
8;Cârja;Ispas;Alba Iulia;Sibiu;Sibiu, Bd. Victoriei nr. 21, judeţul Sibiu;
9;Cruduleci;Horaţiu;Alba Iulia;Sibiu;Sibiu, Bd. Victoriei nr. 14, ap. 9A,judeţul Sibiu;
10;Marin;Vasile;Alba Iulia;Sibiu;Sibiu, Str. Banatului nr. 9, ap. 7,judeţul Sibiu;
11;Tatu;Felician Liviu;Alba Iulia;Sibiu;Sibiu, Bd. Victoriei nr. 21, judeţul Sibiu;
12;Moldovan;Florin Gheorghe;Alba Iulia;Sibiu;Sibiu, Bd. Victoriei nr. 17, judeţul Sibiu;
13;Nuţescu;Constantin Ciprian;Alba Iulia;Sibiu;Sibiu, Bd. Victoriei nr. 17, parter,judeţul Sibiu;
14;Rotaru;Simion;Alba Iulia;Mediaş;Mediaş, str. Corneliu Coposu nr. 1,judeţul Sibiu;
15;Tudor;Vasile Petru;Alba Iulia;Mediaş;Mediaş, str. L. Roth nr. 29, judeţul Sibiu;
16;Tămaş;OvidiuNicolae;Alba Iulia;Mediaş;;
17;Scutea;Sorin;Alba Iulia;Agnita;Agnita, str. Mihai Viteazu nr. 73,judeţul Sibiu;
18;Veştemean;Ioan Stan;Alba Iulia;Avrig;Avrig, str. Mihai Viteazu nr. 1,judeţul Sibiu;
19;Baciu;Traian;Alba Iulia;Hunedoara;Hunedoara, str. N. Bălcescu nr. 1,judeţul Hunedoara;
20;Ifrim;Remus Daniel;Alba Iulia;Hunedoara;Hunedoara, str. N. Bălcescu nr. 1,judeţul Hunedoara;
21;Barboni;Eugen;Alba Iulia;Deva;Deva, str. Avram Iancu bl. H3, sc. A,judeţul Hunedoara;
22;Benteu;Aron;Alba Iulia;Deva;Deva, str. Aurel Vlaicu nr. 1,judeţul Hunedoara;
23;Opriş;OfeliaMaria;Alba Iulia;Deva;Deva, str. Iuliu Maniu nr. 6,judeţul Hunedoara;
24;Creţu;Andrea;Alba Iulia;Deva;;
25;Vrabie;Florin Constantin;Alba Iulia;Petroşani;Petroşani, Str. 1 Decembrie 1918 nr. 100,judeţul Hunedoara;
26;Răducanu;CeciliaCamelia;Alba Iulia;Petroşani;Petroşani, Str. 1 Decembrie 1918 nr. 100,judeţul Hunedoara;
27;Popescu;Emilia;Alba Iulia;Petroşani;Petroşani, Aleea Poporului bl. 3A, sc. 1,ap. 2, judeţul Hunedoara;
28;Oancea;Petru;Alba Iulia;Petroşani;Petroşani, Aleea Poporului, bl. 3, sc. 3,ap. 26 parter, judeţul Hunedoara;
29;Rovinar;Marin Daniel;Alba Iulia;Brad;Brad, Str. Minerilor nr. 57,judeţul Hunedoara;
30;Suciu;Bogdan;Alba Iulia;Sălişte;;
31;Fieraru;Eugen;Piteşti;Piteşti;Piteşti, str. Exerciţiu bl. A5, sc. D,ap. 14, judeţul Argeş;
32;Rada;Ion;Piteşti;Piteşti;Piteşti, Bd. Eroilor nr. 51, cam. 105,judeţul Argeş;
33;Bucescu;Emanoil Aron;Piteşti;Piteşti;Piteşti, Bd. Eroilor nr. 46, et. 1,cam. 1,judeţul Argeş;
34;Negoescu;Adrian Gheorghe;Piteşti;Piteşti;Piteşti, str. Trivale bl. 10A,sc. C,ap. 27,judeţul Argeş;
35;Ioana;Cristian;Piteşti;Piteşti;Piteşti, str. Exerciţiu bl. PD4, sc. A,ap. 13, judeţul Argeş;
36;Copaci;Vasile;Piteşti;Piteşti;Piteşti, Str. Paltinului bl. C14, sc. B,ap. 9, judeţul Argeş;
37;Vârgă;Ioan;Piteşti;Piteşti;Piteşti,str. Exerciţiu nr. 70,judeţul Argeş;
38;Iordache;Ion;Piteşti;Piteşti;;
39;Mitu;MihaiIoan;Piteşti;Câmpulung;Câmpulung, str. Alexandru cel Bun nr. 4,bl. D 28, sc. B, ap. 11, judeţul Argeş;
40;Florea;Ioana;Piteşti;Câmpulung;;
41;Iordache;Vasile;Piteşti;Curtea de;Curtea de Argeş,str. T. Vladimirescu nr. 2,judeţul Argeş;
